sport,playerName,aliases,careerStage,roleTier,positionGroup,lastUpdated
MLB,Manny Machado,Machado,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Rafael Devers,Devers,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Corey Seager,Seager,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Yordan Alvarez,Alvarez,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Paul Goldschmidt,Goldschmidt,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Nolan Arenado,Arenado,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Ozzie Albies,Albies,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Matt Olson,Olson,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Adley Rutschman,Rutschman,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Gunnar Henderson,Henderson,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Bobby Witt Jr.,Jr,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Corbin Carroll,Carroll,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Trea Turner,Turner,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Pete Alonso,Alonso,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Kyle Tucker,Tucker,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Luis Robert Jr.,Jr,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Xander Bogaerts,Bogaerts,PRIME,FRANCHISE_CORE,HITTER,2025-12-21
MLB,Gerrit Cole,Cole,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Jacob deGrom,deGrom,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Max Scherzer,Scherzer,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Justin Verlander,Verlander,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Corbin Burnes,Burnes,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Zack Wheeler,Wheeler,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Spencer Strider,Strider,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Sandy Alcantara,Alcantara,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Blake Snell,Snell,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Yu Darvish,Darvish,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Gavin Williams,Williams,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Austin Riley,Riley,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Bo Bichette,Bichette,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Marcus Semien,Semien,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Cedric Mullins,Mullins,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,J.T. Realmuto,Realmuto,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Will Smith,Smith,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Cal Raleigh,Raleigh,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Jordan Walker,Walker,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Spencer Torkelson,Torkelson,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Riley Greene,Greene,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Jazz Chisholm Jr.,Jr,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Bryan Reynolds,Reynolds,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Seiya Suzuki,Suzuki,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Michael Harris II,II,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Isaac Paredes,Paredes,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Jonathan India,India,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Alex Bregman,Bregman,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Christian Yelich,Yelich,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Bryce Turang,Turang,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Ketel Marte,Marte,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Ha-Seong Kim,Kim,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Josh Naylor,Naylor,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Cody Bellinger,Bellinger,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Teoscar Hernández,Hernndez,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,George Springer,Springer,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Anthony Santander,Santander,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Tommy Edman,Edman,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Nico Hoerner,Hoerner,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Dansby Swanson,Swanson,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Masataka Yoshida,Yoshida,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Marcell Ozuna,Ozuna,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Paul DeJong,DeJong,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Anthony Rizzo,Rizzo,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Logan Webb,Webb,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Framber Valdez,Valdez,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,George Kirby,Kirby,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Luis Castillo,Castillo,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Max Fried,Fried,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Chris Sale,Sale,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Zac Gallen,Gallen,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Tyler Glasnow,Glasnow,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Shane Bieber,Bieber,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Tarik Skubal,Skubal,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Pablo López,Lpez,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Kevin Gausman,Gausman,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Aaron Nola,Nola,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Sonny Gray,Gray,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Jordan Montgomery,Montgomery,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Kyle Bradish,Bradish,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Grayson Rodriguez,Rodriguez,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Kodai Senga,Senga,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Joe Ryan,Ryan,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Shota Imanaga,Imanaga,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Walker Buehler,Buehler,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Bryce Miller,Miller,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Tanner Bibee,Bibee,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Reid Detmers,Detmers,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Hunter Greene,Greene,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Blake Treinen,Treinen,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Elly De La Cruz,Cruz,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Jackson Holliday,Holliday,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Jackson Chourio,Chourio,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Paul Skenes,Skenes,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Wyatt Langford,Langford,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Evan Carter,Carter,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,James Wood,Wood,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Junior Caminero,Caminero,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Jasson Domínguez,Domnguez,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Oneil Cruz,Cruz,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Jordan Lawlar,Lawlar,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Colt Keith,Keith,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Pete Crow-Armstrong,CrowArmstrong,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Marcelo Mayer,Mayer,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Kyle Harrison,Harrison,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Yoshinobu Yamamoto,Yamamoto,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Roki Sasaki,Sasaki,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Masyn Winn,Winn,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Lawrence Butler,Butler,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Sal Frelick,Frelick,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Heston Kjerstad,Kjerstad,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Ceddanne Rafaela,Rafaela,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Gabe Moreno,Moreno,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Michael Busch,Busch,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Matt McLain,McLain,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Noelvi Marte,Marte,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Royce Lewis,Lewis,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
MLB,Jose Altuve,Altuve,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Giancarlo Stanton,Stanton,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Max Muncy,Muncy,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Matt Chapman,Chapman,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Salvador Perez,Perez,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,William Contreras,Contreras,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Francisco Alvarez,Alvarez,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Yadier Molina,Molina,RETIRED_HOF,SOLID_STARTER,HITTER,2025-12-21
MLB,Buster Posey,Posey,RETIRED_HOF,SOLID_STARTER,HITTER,2025-12-21
MLB,Joe Mauer,Mauer,RETIRED_HOF,SOLID_STARTER,HITTER,2025-12-21
MLB,Tim Anderson,Anderson,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Brandon Lowe,Lowe,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Alex Verdugo,Verdugo,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Trevor Story,Story,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Matt Carpenter,Carpenter,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Joey Votto,Votto,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Omar Narváez,Narvez,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Sean Murphy,Murphy,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Matt Reynolds,Reynolds,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Carlos Correa,Correa,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Jose Alvarado,Alvarado,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Emmanuel Clase,Clase,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Josh Hader,Hader,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Edwin Díaz,Daz,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Ryan Helsley,Helsley,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Camilo Doval,Doval,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Aroldis Chapman,Chapman,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Clayton Kershaw,Kershaw,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Omar,,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Jorge Soler,Soler,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Starling Marte,Marte,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Andrew McCutchen,McCutchen,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Bryson Stott,Stott,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Willson Contreras,Contreras,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Brandon Nimmo,Nimmo,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Lane Thomas,Thomas,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Matt Vierling,Vierling,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Ian Happ,Happ,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Byron Buxton,Buxton,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Carlos Rodón,Rodn,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Dylan Cease,Cease,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Logan Gilbert,Gilbert,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Jack Flaherty,Flaherty,PRIME,SOLID_STARTER,PITCHER,2025-12-21
MLB,Nick Castellanos,Castellanos,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Josh Bell,Bell,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Christian Walker,Walker,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Rhys Hoskins,Hoskins,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Joey Gallo,Gallo,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Eugenio Suárez,Surez,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Tyler O'Neill,ONeill,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Ohtani,,PRIME,SOLID_STARTER,HITTER,2025-12-21
MLB,Masahiro Tanaka,Tanaka,PRIME,SOLID_STARTER,PITCHER,2025-12-21
NHL,Wayne Gretzky,Gretzky,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Mario Lemieux,Lemieux,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Bobby Orr,Orr,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Gordie Howe,Howe,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Maurice Richard,Richard,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Jean Beliveau,Beliveau,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Guy Lafleur,Lafleur,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Jaromir Jagr,Jagr,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Mark Messier,Messier,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Steve Yzerman,Yzerman,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Patrick Roy,Roy,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Dominik Hasek,Hasek,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Martin Brodeur,Brodeur,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Brett Hull,Hull,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Teemu Selanne,Selanne,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Paul Coffey,Coffey,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Ray Bourque,Bourque,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Al MacInnis,MacInnis,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Nicklas Lidstrom,Lidstrom,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Phil Esposito,Esposito,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Connor McDavid,McDavid,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Sidney Crosby,Crosby,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Alex Ovechkin,Ovechkin,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Nathan MacKinnon,MacKinnon,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Auston Matthews,Matthews,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Cale Makar,Makar,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Nikita Kucherov,Kucherov,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Leon Draisaitl,Draisaitl,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,David Pastrnak,Pastrnak,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Artemi Panarin,Panarin,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Mitch Marner,Marner,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Jack Eichel,Eichel,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Quinn Hughes,Hughes,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Elias Pettersson,Pettersson,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Kirill Kaprizov,Kaprizov,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Matthew Tkachuk,Tkachuk,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Brayden Point,Point,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Jason Robertson,Robertson,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Victor Hedman,Hedman,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Roman Josi,Josi,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Igor Shesterkin,Shesterkin,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Andrei Vasilevskiy,Vasilevskiy,PRIME,FRANCHISE_CORE,UNKNOWN,2025-12-21
NHL,Carey Price,Price,RETIRED_HOF,RETIRED_ICON,UNKNOWN,2025-12-21
NHL,Connor Hellebuyck,Hellebuyck,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Ilya Sorokin,Sorokin,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Juuse Saros,Saros,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Thatcher Demko,Demko,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Jeremy Swayman,Swayman,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Linus Ullmark,Ullmark,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Jake Oettinger,Oettinger,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Sergei Bobrovsky,Bobrovsky,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Aleksander Barkov,Barkov,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Sebastian Aho,Aho,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Mikko Rantanen,Rantanen,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Patrik Laine,Laine,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Steven Stamkos,Stamkos,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,John Tavares,Tavares,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Anze Kopitar,Kopitar,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Jonathan Huberdeau,Huberdeau,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Claude Giroux,Giroux,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Brad Marchand,Marchand,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,William Nylander,Nylander,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Mark Stone,Stone,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Steven,,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Ryan Nugent-Hopkins,NugentHopkins,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Chris Kreider,Kreider,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Brent Burns,Burns,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Shea Weber,Weber,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Dougie Hamilton,Hamilton,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Adam Fox,Fox,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Miro Heiskanen,Heiskanen,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Rasmus Dahlin,Dahlin,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Charlie McAvoy,McAvoy,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,J.T. Miller,Miller,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Bo Horvat,Horvat,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Tim Stützle,Sttzle,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Trevor Zegras,Zegras,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Cole Caufield,Caufield,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Nick Suzuki,Suzuki,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Tage Thompson,Thompson,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Lucas Raymond,Raymond,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Moritz Seider,Seider,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Brady Tkachuk,Tkachuk,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Jake Guentzel,Guentzel,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,David,,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Patrick Kane,Kane,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Evgeni Malkin,Malkin,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Erik Karlsson,Karlsson,PRIME,SOLID_STARTER,UNKNOWN,2025-12-21
NHL,Connor Bedard,Bedard,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
NHL,Matvei Michkov,Michkov,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
NHL,Leo Carlsson,Carlsson,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
NHL,Adam Fantilli,Fantilli,YEAR_2,UNCERTAIN_ROLE,UNKNOWN,2025-12-21
